model,transmission,body_type,drive_type,color,production_year,auto_key,engine_capacity,horsepower,engine_type,price,milage
Honda Civic VIII,автомат,седан,передний,золотистый,2017,1095828404,1.8,140,Бензин,400000,226600
Honda Saber I,автомат,седан,передний,синий,1997,1079726774,2.5,190,Бензин,190000,54000
Honda Concerto,механика,хэтчбек 5 дв.,передний,серебристый,1992,1093119894,1.6,112,Бензин,80000,126000
Honda Accord VIII,автомат,седан,передний,красный,2018,1098804048,2.4,201,Бензин,890000,138386
Honda Accord VII Рестайлинг,автомат,седан,передний,коричневый,2006,1099971082,2.0,155,Бензин,510000,228000
Honda Prelude IV,автомат,купе,передний,красный,1993,1099352240,2.2,160,Бензин,275000,120100
Honda Vigor III,автомат,седан,передний,пурпурный,1994,1099317956,2.5,190,Бензин,70000,304000
Honda Civic VIII,автомат,седан,передний,чёрный,2008,1095466368,1.8,140,Бензин,470000,183000
Honda CR-V III,автомат,внедорожник 5 дв.,полный,серый,2008,1098466662,2.0,150,Бензин,785000,230000
Honda HR-V I,вариатор,внедорожник 5 дв.,передний,белый,2000,1098444854,1.6,105,Бензин,250000,220000
Honda Civic VIII,автомат,седан,передний,чёрный,2017,1099863620,1.8,140,Бензин,460000,253000
