Honda Civic VIII,1.8 л / 140 л.с. / Бензин,механика,седан,передний,серебристый,350 000 ₽,2007,203 500 км
Honda CR-V II,2.4 л / 162 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,зелёный,435 000 ₽,2002,200 000 км
Honda CR-V II,2.4 л / 162 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,красный,480 000 ₽,2003,153 616 км
Honda Jazz II,1.3 л / 100 л.с. / Бензин,робот,хэтчбек 5 дв.,передний,красный,427 000 ₽,2009,139 000 км
Honda Orthia I,2.0 л / 145 л.с. / Бензин,автомат,универсал 5 дв.,передний,красный,145 000 ₽,1996,298 984 км
Honda Civic VIII,1.8 л / 140 л.с. / Бензин,механика,седан,передний,чёрный,320 000 ₽,2008,197 000 км
Honda CR-V I,2.0 л / 128 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серебристый,200 000 ₽,1996,251 000 км
Honda CR-V III,2.4 л / 166 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,чёрный,850 000 ₽,2008,167 000 км
Honda Accord VIII,2.4 л / 200 л.с. / Бензин,автомат,седан,передний,чёрный,690 000 ₽,2010,210 000 км
Honda CR-V III Рестайлинг,2.4 л / 166 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый,980 000 ₽,2011,135 000 км
Honda CR-V III,2.0 л / 150 л.с. / Бензин,механика,внедорожник 5 дв.,полный,чёрный,680 000 ₽,2007,200 000 км
Honda Accord VII Рестайлинг,2.0 л / 155 л.с. / Бензин,механика,седан,передний,синий,390 000 ₽,2007,259 000 км
Honda CR-V III Рестайлинг,2.4 л / 166 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый,1 050 000 ₽,2011,112 000 км
Honda Accord IV,2.0 л / 110 л.с. / Бензин,механика,седан,передний,серебристый,70 000 ₽,1991,470 500 км
Honda Civic VIII,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 5 дв.,передний,чёрный,450 000 ₽,2007,180 000 км
Honda N-WGN I,0.7 л / 58 л.с. / Бензин,вариатор,хэтчбек 5 дв.,передний,серебристый,450 000 ₽,2014,89 700 км
Honda Accord VII Рестайлинг,2.0 л / 155 л.с. / Бензин,механика,седан,передний,коричневый,510 000 ₽,2007,303 000 км
Honda Pilot II,3.5 л / 257 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,синий,850 000 ₽,2008,205 450 км
Honda Accord Type-S VII Рестайлинг Type S,2.4 л / 190 л.с. / Бензин,автомат,седан,передний,серый,505 000 ₽,2007,169 000 км
