model,transmission,body_type,drive_type,color,production_year,engine_capacity,horsepower,engine_type,price,milage
Honda Concerto,механика,хэтчбек 5 дв.,передний,синий,1991,1.5,90,Бензин,75000,195000
Honda Stream I,автомат,компактвэн,полный,чёрный,2001,2.0,158,Бензин,360000,230000
Honda Accord V,механика,седан,передний,синий,1994,2.0,131,Бензин,139000,320000
Honda Accord VIII Рестайлинг,автомат,седан,передний,чёрный,2011,2.0,156,Бензин,830000,170000
Honda Civic  VIII Hybrid,вариатор,седан,передний,чёрный,2008,1.3,95,Гибрид,420000,170790
Honda Civic VIII,робот,хэтчбек 5 дв.,передний,чёрный,2008,1.8,140,Бензин,362000,190000
Honda Accord IV,механика,седан,передний,серебристый,1991,2.0,110,Бензин,70000,470500
Honda Accord VIII,автомат,седан,передний,чёрный,2008,2.4,201,Бензин,600000,225000
Honda CR-V III,автомат,внедорожник 5 дв.,полный,серебристый,2008,2.4,166,Бензин,890000,113000
Honda Prelude IV,автомат,купе,передний,красный,1993,2.2,160,Бензин,260000,120100
Honda Accord VII Рестайлинг,автомат,седан,передний,синий,2005,2.4,190,Бензин,450000,215000
Honda Accord VIII,автомат,седан,передний,синий,2008,2.4,201,Бензин,650000,195000
Honda Civic VI,механика,седан,передний,белый,1997,1.5,115,Бензин,190000,203500
Honda Partner I,автомат,универсал 5 дв.,передний,чёрный,1996,1.5,105,Бензин,130000,100000
Honda Civic VIII,автомат,седан,передний,чёрный,2007,1.8,140,Бензин,460000,253000
Honda Civic VIII,робот,хэтчбек 5 дв.,передний,красный,2008,1.8,140,Бензин,350000,248000
Honda CR-V II Рестайлинг,автомат,внедорожник 5 дв.,полный,серебристый,2004,2.4,162,Бензин,520000,176000
Honda Accord VIII Рестайлинг,автомат,седан,передний,белый,2012,2.0,156,Бензин,820000,157000
Honda Shuttle I,автомат,компактвэн,передний,зелёный,1997,2.2,150,Бензин,220000,160000
Honda HR-V I Рестайлинг,вариатор,внедорожник 5 дв.,полный,красный,2004,1.6,105,Бензин,330000,184000
Honda Civic VIII,робот,хэтчбек 5 дв.,передний,синий,2007,1.8,140,Бензин,340000,166000
Honda Civic Ferio III,автомат,седан,полный,белый,2001,1.5,115,Бензин,249000,160800
Honda Civic Ferio I,автомат,седан,передний,синий,1993,1.3,85,Бензин,60000,100000
Honda CR-V II,механика,внедорожник 5 дв.,полный,коричневый,2001,2.4,162,Бензин,430000,188000
Honda Civic VI,автомат,седан,передний,чёрный,1996,1.4,90,Бензин,110000,284546
Honda CR-V II,механика,внедорожник 5 дв.,полный,серебристый,2002,2.0,150,Бензин,400000,280000
Honda Civic VIII,механика,седан,передний,чёрный,2008,1.8,140,Бензин,415000,286000
Honda Civic VIII,автомат,седан,передний,золотистый,2007,1.8,140,Бензин,400000,226600
