model,transmission,body_type,drive_type,color,production_year,auto_key,engine_capacity,horsepower,engine_type,price,milage
Honda Shuttle II,робот,универсал 5 дв.,передний,синий,2015,1089869934,1.5,110,Гибрид,1060000,86000
Honda Civic VI,механика,хэтчбек 5 дв.,передний,серый,1998,1097816916,1.5,115,Бензин,85000,400000
Honda HR-V I Рестайлинг,вариатор,внедорожник 5 дв.,передний,красный,2002,1098342010,1.6,105,Бензин,275000,175000
Honda HR-V I Рестайлинг,вариатор,внедорожник 5 дв.,передний,красный,2003,1091493928,1.6,105,Бензин,330000,218000
Honda Civic VIII,механика,седан,передний,чёрный,2007,1097693116,1.8,140,Бензин,420000,253000
Honda Accord VII Рестайлинг,автомат,седан,передний,синий,2005,1100242080,2.4,190,Бензин,450000,215000
Honda Civic VIII Рестайлинг,автомат,седан,передний,чёрный,2010,1098009412,1.8,140,Бензин,570000,204000
Honda Civic VI,механика,седан,передний,белый,1997,1093915832,1.5,115,Бензин,190000,203500
Honda CR-V I,автомат,внедорожник 5 дв.,полный,синий,1998,1096506606,2.0,128,Бензин,265000,285000
Honda Concerto,механика,хэтчбек 5 дв.,передний,синий,1991,1097340262,1.5,90,Бензин,75000,195000
Honda Stream I,автомат,компактвэн,полный,чёрный,2001,1099863308,2.0,158,Бензин,360000,230000
Honda Accord VIII Рестайлинг,автомат,седан,передний,чёрный,2011,1098986692,2.0,156,Бензин,830000,170000
Honda CR-V III,автомат,внедорожник 5 дв.,полный,серебристый,2008,1100155356,2.4,166,Бензин,890000,113000
Honda Civic  VIII Hybrid,вариатор,седан,передний,чёрный,2008,1084108815,1.3,95,Гибрид,420000,170790
Honda Accord IX,автомат,седан,передний,белый,2013,1086433372,2.4,180,Бензин,1250000,163000
Honda Civic VIII,робот,хэтчбек 5 дв.,передний,синий,2007,1091147940,1.8,140,Бензин,340000,166000
Honda Civic Ferio III,автомат,седан,полный,белый,2001,1099621522,1.5,115,Бензин,249000,160800
Honda Accord IV,механика,седан,передний,серебристый,1991,1082557638,2.0,110,Бензин,70000,470500
Honda Civic VIII,механика,седан,передний,чёрный,2008,1092076964,1.8,140,Бензин,415000,286000
Honda Accord VIII,автомат,седан,передний,чёрный,2008,1100077872,2.4,201,Бензин,650000,240000
Honda Accord VIII,автомат,седан,передний,чёрный,2008,1091703988,2.4,201,Бензин,600000,225000
Honda Prelude IV,автомат,купе,передний,красный,1993,1099352240,2.2,160,Бензин,260000,120100
Honda Civic VIII,механика,седан,передний,чёрный,2008,1100214686,1.8,140,Бензин,390000,250000
Honda Accord VIII,автомат,седан,передний,синий,2008,1099058718,2.4,201,Бензин,650000,195000
