Honda Civic VIII,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,чёрный,460 000 ₽,2007,253 000 км,1099863620
Honda Civic VIII,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 5 дв.,передний,синий,340 000 ₽,2007,166 000 км,1091147940
Honda Civic VIII,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 5 дв.,передний,чёрный,450 000 ₽,2007,180 000 км,1097908488
Honda Civic VIII,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,синий,490 000 ₽,2008,160 000 км,1094325938
Honda Civic VIII,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,золотистый,400 000 ₽,2007,226 600 км,1095828404
Honda Saber I,2.5 л / 190 л.с. / Бензин,автомат,седан,передний,синий,190 000 ₽,1997,54 000 км,1079726774
Honda Concerto,1.6 л / 112 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,серебристый,80 000 ₽,1992,126 000 км,1093119894
Honda Accord VIII,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,красный,890 000 ₽,2008,138 386 км,1098804048
Honda Accord VII Рестайлинг,2.0 л / 155 л.с. / Бензин,автомат,седан,передний,коричневый,510 000 ₽,2006,228 000 км,1099971082
Honda Prelude IV,2.2 л / 160 л.с. / Бензин,автомат,купе,передний,красный,275 000 ₽,1993,120 100 км,1099352240
Honda Vigor III,2.5 л / 190 л.с. / Бензин,автомат,седан,передний,пурпурный,70 000 ₽,1994,304 000 км,1099317956
Honda Civic VIII,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,чёрный,470 000 ₽,2008,183 000 км,1095466368
Honda CR-V III,2.0 л / 150 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый,785 000 ₽,2008,230 000 км,1098466662
Honda HR-V I,1.6 л / 105 л.с. / Бензин,вариатор,внедорожник 5 дв.,передний,белый,250 000 ₽,2000,220 000 км,1098444854
Honda Accord IX,2.4 л / 180 л.с. / Бензин,автомат,седан,передний,белый,1 250 000 ₽,2013,163 000 км,1086433372
Honda Accord Type-S VII Рестайлинг Type S,2.4 л / 190 л.с. / Бензин,автомат,седан,передний,чёрный,565 000 ₽,2007,250 000 км,1094710746
Honda Civic VI,1.5 л / 115 л.с. / Бензин,механика,седан,передний,белый,190 000 ₽,1997,203 500 км,1093915832
Honda Civic VIII,1.8 л / 140 л.с. / Бензин,механика,седан,передний,красный,375 000 ₽,2008,152 200 км,1097665566
Honda Stream I,2.0 л / 158 л.с. / Бензин,автомат,компактвэн,полный,чёрный,360 000 ₽,2001,230 000 км,1099863308
Honda Shuttle I,2.3 л / 150 л.с. / Бензин,автомат,компактвэн,передний,синий,200 000 ₽,1998,287 000 км,1098260976
Honda Civic VIII,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,серебристый,355 000 ₽,2006,192 000 км,1099918846
Honda Accord VIII,2.0 л / 156 л.с. / Бензин,автомат,седан,передний,чёрный,750 000 ₽,2008,122 000 км,1099684654
Honda Accord VII Рестайлинг,2.0 л / 155 л.с. / Бензин,автомат,седан,передний,коричневый,470 000 ₽,2007,305 000 км,1098067632
Honda HR-V I Рестайлинг,1.6 л / 105 л.с. / Бензин,вариатор,внедорожник 5 дв.,полный,серебристый,400 000 ₽,2004,220 000 км,1091975798
Honda Civic  VIII Hybrid,1.3 л / 95 л.с. / Гибрид,вариатор,седан,передний,чёрный,320 000 ₽,2008,191 926 км,1095165130
Honda Civic VIII,1.8 л / 140 л.с. / Бензин,механика,седан,передний,чёрный,415 000 ₽,2008,286 000 км,1092076964
Honda CR-V I,2.0 л / 145 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый,285 000 ₽,1998,162 911 км,1097105942
Honda Accord VIII,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,серебристый,720 000 ₽,2008,185 000 км,1093050410
Honda Civic VI,1.6 л / 125 л.с. / Бензин,механика,седан,передний,серебристый,210 000 ₽,2000,340 000 км,1095264918
Honda Civic VI,1.5 л / 115 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,зелёный,200 000 ₽,1998,254 000 км,1099559046
Honda Civic Ferio III,1.5 л / 105 л.с. / Бензин,вариатор,седан,передний,золотистый,235 000 ₽,2002,326 790 км,1096409636
Honda Orthia I,2.0 л / 145 л.с. / Бензин,автомат,универсал 5 дв.,передний,красный,145 000 ₽,1996,298 984 км,1095257260
Honda Civic VII,1.7 л / 115 л.с. / Бензин,автомат,седан,передний,серебристый,250 000 ₽,2002,391 000 км,1097493526
Honda CR-V II,2.4 л / 162 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серебристый,470 000 ₽,2003,190 000 км,1096040544
Honda CR-V II,2.4 л / 162 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,красный,480 000 ₽,2003,153 616 км,1099639180
Honda Civic VIII,1.8 л / 140 л.с. / Бензин,механика,седан,передний,чёрный,420 000 ₽,2007,253 000 км,1097693116
Honda Civic VIII,1.8 л / 140 л.с. / Бензин,механика,седан,передний,голубой,380 000 ₽,2007,166 000 км,1098763682
Honda Civic VIII,1.8 л / 140 л.с. / Бензин,автомат,седан,передний,чёрный,440 000 ₽,2008,237 000 км,1093671886
Honda Stream I,1.7 л / 130 л.с. / Бензин,автомат,компактвэн,передний,белый,300 000 ₽,2003,180 000 км,1100301600
Honda Concerto,1.5 л / 90 л.с. / Бензин,механика,хэтчбек 5 дв.,передний,синий,75 000 ₽,1991,195 000 км,1097340262
Honda HR-V I,1.6 л / 105 л.с. / Бензин,вариатор,внедорожник 5 дв.,полный,серебристый,300 000 ₽,2000,251 400 км,1094327286
Honda Civic VI,1.4 л / 90 л.с. / Бензин,автомат,хэтчбек 5 дв.,передний,синий,260 000 ₽,1998,340 000 км,1093575214
Honda Accord Type-S VIII Type S,2.4 л / 201 л.с. / Бензин,автомат,седан,передний,красный,650 000 ₽,2008,225 000 км,1073861164
Honda HR-V I Рестайлинг,1.6 л / 105 л.с. / Бензин,вариатор,внедорожник 5 дв.,передний,красный,330 000 ₽,2003,218 000 км,1091493928
Honda Accord  VII Sport,2.0 л / 155 л.с. / Бензин,автомат,седан,передний,красный,390 000 ₽,2004,225 000 км,1095605282
Honda Domani II,1.6 л / 120 л.с. / Бензин,автомат,седан,передний,фиолетовый,230 000 ₽,1997,275 000 км,1099893310
Honda Civic V,1.6 л / 125 л.с. / Бензин,механика,седан,передний,синий,129 000 ₽,1993,310 000 км,1097385372
Honda CR-V II,2.0 л / 150 л.с. / Бензин,механика,внедорожник 5 дв.,полный,серебристый,420 000 ₽,2002,280 000 км,1097718688
Honda CR-V I,2.0 л / 128 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серый,330 000 ₽,1995,300 000 км,1097031792
Honda HR-V I Рестайлинг,1.6 л / 124 л.с. / Бензин,механика,внедорожник 5 дв.,полный,синий,335 000 ₽,2002,266 000 км,1084399429
Honda Accord VII Рестайлинг,2.4 л / 190 л.с. / Бензин,автомат,седан,передний,красный,430 000 ₽,2006,237 321 км,1078697203
Honda CR-V I,2.0 л / 128 л.с. / Бензин,механика,внедорожник 5 дв.,полный,синий,250 000 ₽,1998,380 000 км,1099777382
Honda Accord IV,2.0 л / 133 л.с. / Бензин,автомат,седан,передний,серебристый,90 000 ₽,1991,270 000 км,1097907998
Honda Civic VI,1.5 л / 90 л.с. / Бензин,механика,седан,передний,чёрный,180 000 ₽,1997,330 000 км,1100123794
Honda Saber II,3.2 л / 225 л.с. / Бензин,автомат,седан,передний,чёрный,300 000 ₽,1998,349 100 км,1099893374
Honda Civic  VIII Type S,1.8 л / 140 л.с. / Бензин,робот,хэтчбек 3 дв.,передний,чёрный,450 000 ₽,2008,145 000 км,1098946022
Honda CR-V II,2.0 л / 150 л.с. / Бензин,автомат,внедорожник 5 дв.,полный,серебристый,500 000 ₽,2003,370 000 км,1094944152
