model,transmission,body_type,drive_type,color,production_year,auto_key,engine_capacity,horsepower,engine_type,price,milage
Honda Civic VIII,автомат,седан,передний,чёрный,2007,1099863620,1.8,140,Бензин,460000,253000
Honda Civic VIII,робот,хэтчбек 5 дв.,передний,синий,2007,1091147940,1.8,140,Бензин,340000,166000
Honda Civic VIII,робот,хэтчбек 5 дв.,передний,чёрный,2007,1097908488,1.8,140,Бензин,450000,180000
Honda Civic VIII,автомат,седан,передний,синий,2008,1094325938,1.8,140,Бензин,490000,160000
Honda Civic VIII,автомат,седан,передний,золотистый,2007,1095828404,1.8,140,Бензин,400000,226600
Honda Saber I,автомат,седан,передний,синий,1997,1079726774,2.5,190,Бензин,190000,54000
Honda Concerto,механика,хэтчбек 5 дв.,передний,серебристый,1992,1093119894,1.6,112,Бензин,80000,126000
Honda Accord VIII,автомат,седан,передний,красный,2008,1098804048,2.4,201,Бензин,890000,138386
Honda Accord VII Рестайлинг,автомат,седан,передний,коричневый,2006,1099971082,2.0,155,Бензин,510000,228000
Honda Prelude IV,автомат,купе,передний,красный,1993,1099352240,2.2,160,Бензин,275000,120100
Honda Vigor III,автомат,седан,передний,пурпурный,1994,1099317956,2.5,190,Бензин,70000,304000
Honda Civic VIII,автомат,седан,передний,чёрный,2008,1095466368,1.8,140,Бензин,470000,183000
Honda CR-V III,автомат,внедорожник 5 дв.,полный,серый,2008,1098466662,2.0,150,Бензин,785000,230000
Honda HR-V I,вариатор,внедорожник 5 дв.,передний,белый,2000,1098444854,1.6,105,Бензин,250000,220000
Honda Accord IX,автомат,седан,передний,белый,2013,1086433372,2.4,180,Бензин,1250000,163000
Honda Accord Type-S VII Рестайлинг Type S,автомат,седан,передний,чёрный,2007,1094710746,2.4,190,Бензин,565000,250000
Honda Civic VI,механика,седан,передний,белый,1997,1093915832,1.5,115,Бензин,190000,203500
Honda Civic VIII,механика,седан,передний,красный,2008,1097665566,1.8,140,Бензин,375000,152200
Honda Stream I,автомат,компактвэн,полный,чёрный,2001,1099863308,2.0,158,Бензин,360000,230000
Honda Shuttle I,автомат,компактвэн,передний,синий,1998,1098260976,2.3,150,Бензин,200000,287000
Honda Civic VIII,автомат,седан,передний,серебристый,2006,1099918846,1.8,140,Бензин,355000,192000
Honda Accord VIII,автомат,седан,передний,чёрный,2008,1099684654,2.0,156,Бензин,750000,122000
Honda Accord VII Рестайлинг,автомат,седан,передний,коричневый,2007,1098067632,2.0,155,Бензин,470000,305000
Honda HR-V I Рестайлинг,вариатор,внедорожник 5 дв.,полный,серебристый,2004,1091975798,1.6,105,Бензин,400000,220000
Honda Civic  VIII Hybrid,вариатор,седан,передний,чёрный,2008,1095165130,1.3,95,Гибрид,320000,191926
Honda Civic VIII,механика,седан,передний,чёрный,2008,1092076964,1.8,140,Бензин,415000,286000
Honda CR-V I,механика,внедорожник 5 дв.,полный,серебристый,1998,1097105942,2.0,145,Бензин,285000,162911
Honda Accord VIII,автомат,седан,передний,серебристый,2008,1093050410,2.4,201,Бензин,720000,185000
Honda Civic VI,механика,седан,передний,серебристый,2000,1095264918,1.6,125,Бензин,210000,340000
